Time Elapsed:  149.39s, Average test loss: 0.0227, Test accuracy: 257/1446 (17%)
Time Elapsed:  308.58s, Average test loss: 0.0261, Test accuracy: 203/1446 (14%)
Time Elapsed:  482.79s, Average test loss: 0.0152, Test accuracy: 321/1446 (22%)
Time Elapsed:  653.62s, Average test loss: 0.0139, Test accuracy: 257/1446 (17%)
Time Elapsed:  838.16s, Average test loss: 0.0106, Test accuracy: 163/1446 (11%)
Time Elapsed: 1023.32s, Average test loss: 0.0090, Test accuracy: 217/1446 (15%)
Time Elapsed: 1200.06s, Average test loss: 0.0053, Test accuracy: 321/1446 (22%)
Time Elapsed: 1385.36s, Average test loss: 0.0047, Test accuracy: 279/1446 (19%)
Time Elapsed: 1570.55s, Average test loss: 0.0061, Test accuracy: 156/1446 (10%)
Time Elapsed: 1744.83s, Average test loss: 0.0022, Test accuracy: 259/1446 (17%)
Time Elapsed: 1934.95s, Average test loss: 0.0025, Test accuracy: 442/1446 (30%)
Time Elapsed: 2110.74s, Average test loss: 0.0025, Test accuracy: 358/1446 (24%)
Time Elapsed: 2294.02s, Average test loss: 0.0023, Test accuracy: 290/1446 (20%)
Time Elapsed: 2480.44s, Average test loss: 0.0016, Test accuracy: 445/1446 (30%)
Time Elapsed: 2673.41s, Average test loss: 0.0017, Test accuracy: 421/1446 (29%)
Time Elapsed: 2848.37s, Average test loss: 0.0016, Test accuracy: 448/1446 (30%)
Time Elapsed: 3040.50s, Average test loss: 0.0015, Test accuracy: 277/1446 (19%)
Time Elapsed: 3220.10s, Average test loss: 0.0015, Test accuracy: 291/1446 (20%)
Time Elapsed: 3409.37s, Average test loss: 0.0013, Test accuracy: 528/1446 (36%)
Time Elapsed: 3598.08s, Average test loss: 0.0013, Test accuracy: 482/1446 (33%)
Time Elapsed: 3787.97s, Average test loss: 0.0012, Test accuracy: 566/1446 (39%)
Time Elapsed: 3975.82s, Average test loss: 0.0013, Test accuracy: 460/1446 (31%)
Time Elapsed: 4157.70s, Average test loss: 0.0012, Test accuracy: 587/1446 (40%)
