epoch,test_time,train_time,loss,accuracy
1,83.200950133,78.574089716,0.0100,55
2,167.65441227600002,163.026087004,0.0079,67
3,251.95102031,247.30981641800003,0.0069,71
4,337.574839693,332.842904535,0.0072,72
5,422.19276235,417.563773218,0.0072,73
6,506.967403569,502.32523717000004,0.0086,71
7,593.022812733,588.284429368,0.0068,75
8,679.187503497,674.553091978,0.0090,72
9,765.083279996,760.307828097,0.0068,77
10,851.106233916,846.465288504,0.0066,77
11,936.44286178,931.767461947,0.0068,78
12,1022.1514891490001,1017.514534314,0.0078,77
13,1107.763800372,1103.125453288,0.0064,79
14,1193.6731183050001,1188.972977421,0.0068,79
15,1281.048859426,1276.320644438,0.0068,80
16,1367.679851189,1363.026416249,0.0083,78
17,1455.678829542,1450.929648701,0.0069,81
18,1542.667627556,1538.038484872,0.0076,80
19,1629.118910397,1624.471040997,0.0095,78
20,1715.048260068,1710.425014725,0.0052,86
21,1801.465877782,1796.841536171,0.0057,86
22,1888.716874808,1884.073639657,0.0061,86
23,1976.40577,1971.724495106,0.0065,86
24,2065.422819939,2060.7719276659996,0.0068,86
25,2155.4854957469997,2150.6056945809996,0.0070,86
26,2245.343026321,2240.282380704,0.0071,86
27,2331.8347083199997,2327.212531025,0.0073,86
28,2418.4365135069997,2413.803808828,0.0073,86
29,2504.1799122599996,2499.5431514139996,0.0075,86
30,2589.89728956,2585.275028058,0.0069,84
31,2675.504658905,2670.8876964429996,0.0068,85
32,2761.1222271049996,2756.506012715,0.0070,86
33,2846.9550556299996,2842.3437901949997,0.0075,85
34,2932.408115161,2927.800336167,0.0077,85
35,3017.9783995989997,3013.374414654,0.0074,86
36,3103.591724483,3098.9768813849996,0.0080,85
37,3189.3808756649996,3184.775065546,0.0079,84
38,3275.080074048,3270.4706469999996,0.0083,85
39,3360.8346984799996,3356.2239755409996,0.0081,85
40,3446.638157719,3442.034492843,0.0077,86
41,3532.3622866009996,3527.759646647,0.0077,86
42,3618.1885362999997,3613.5769384359996,0.0077,86
43,3704.0625336509997,3699.453737859,0.0077,86
44,3789.8333255999996,3785.229753224,0.0077,86
45,3875.633894968,3871.029189076,0.0077,86
46,3960.810865097,3956.2044263959997,0.0077,86
47,4045.9470660579996,4041.3383243179996,0.0077,86
48,4131.122380328,4126.516483347,0.0077,86
49,4216.1362524,4211.531096224,0.0076,86
50,4301.392742915999,4296.787142865,0.0076,86
51,4386.658881648,4382.043004927999,0.0076,86
52,4471.809589936,4467.2001051239995,0.0076,86
53,4556.885677124999,4552.283785991,0.0076,86
54,4641.854212305,4637.249072879999,0.0076,86
55,4726.943457363,4722.342926552,0.0074,86
56,4811.8712131249995,4807.272673347,0.0075,86
57,4896.85835464,4892.255160646,0.0070,86
58,4981.939898842,4977.335028697,0.0070,86
59,5067.068627687,5062.465297805,0.0071,86
60,5152.2968888939995,5147.688598424,0.0072,86
61,5237.378240803,5232.781130601999,0.0072,86
62,5322.421339245,5317.819569694,0.0072,86
63,5407.4744907429995,5402.869525119,0.0072,86
64,5492.448668137,5487.852232865,0.0072,86
65,5577.444438226999,5572.85043976,0.0072,86
66,5662.362331649,5657.764672746,0.0073,86
67,5747.235064506,5742.637134418,0.0073,86
68,5832.147556481,5827.548423939,0.0073,86
69,5917.041256191,5912.444552337,0.0073,86
70,6002.117712667,5997.517120339,0.0073,86
71,6087.176201695,6082.578966532999,0.0072,86
72,6172.302515726,6167.703344666999,0.0072,86
73,6257.420586464,6252.818325116,0.0072,86
74,6342.4521025839995,6337.852385251,0.0071,86
75,6427.572979775,6422.974124587,0.0071,86
76,6512.593439034,6507.991938663,0.0072,86
77,6597.631381607,6593.031019946,0.0073,86
78,6682.612140712,6678.019881419999,0.0074,86
79,6767.610600712,6763.010187862,0.0074,86
80,6852.617450527,6848.024868326,0.0071,86
81,6937.749888753,6933.155506409,0.0071,86
82,7022.871200529999,7018.278480282,0.0071,86
83,7108.0215242449995,7103.42403882,0.0071,86
84,7193.210716566,7188.610722308999,0.0070,86
85,7278.273449343999,7273.6726862,0.0070,86
86,7363.292698771,7358.696829531999,0.0070,86
87,7448.298567977,7443.702957161,0.0070,86
88,7533.363592344,7528.76710357,0.0070,86
89,7618.308817067999,7613.713223513,0.0070,86
90,7703.431196234999,7698.838051330999,0.0070,86
91,7787.95330397,7783.3578649559995,0.0070,86
92,7872.40013012,7867.801569561,0.0070,86
93,7956.870594453,7952.27606861,0.0070,86
94,8041.383306643,8036.789362892,0.0069,86
95,8125.898256341,8121.300516114,0.0069,86
96,8210.398056368,8205.796806309,0.0069,86
97,8294.91392894,8290.316388682999,0.0069,86
98,8379.439235763,8374.848346686,0.0069,86
99,8463.926783446,8459.32927058,0.0069,86
100,8548.468377830999,8543.870414767,0.0069,86
