epoch,test_time,train_time,loss,accuracy
1,122.55377981499998,113.481318362,0.0025,31
2,252.205959727,242.625037508,0.0025,9
3,381.254237951,370.793891333,0.0020,11
4,522.248649911,512.0514929980001,0.0018,42
5,660.7930164950001,651.0150189330001,0.0016,13
6,808.8742135680001,799.101473573,0.0015,28
7,956.474592894,942.395930803,0.0014,26
8,1099.1127106449999,1088.384220054,0.0013,35
9,1252.105555413,1240.784911347,0.0013,46
10,1405.716346927,1393.80611949,0.0013,41
11,1559.474357523,1548.5439669099999,0.0012,50
12,1709.2716767309998,1698.667935261,0.0011,54
13,1861.818645003,1850.881250948,0.0011,48
14,2007.871757359,1997.148647902,0.0011,52
15,2159.089112846,2148.326663705,0.0010,54
16,2306.399090234,2295.9597453349998,0.0010,59
17,2468.523214253,2457.7690499279997,0.0010,59
18,2622.008589259,2609.567036622,0.0009,57
19,2765.698641653,2755.42616972,0.0009,61
20,2918.581656919,2906.471519622,0.0009,61
21,3066.045972391,3055.374940906,0.0009,59
22,3214.798004659,3203.10030754,0.0009,61
23,3367.027207681,3356.48382721,0.0008,63
24,3509.882497364,3498.06651808,0.0008,61
25,3670.0386700569998,3658.355219868,0.0008,64
26,3815.698881535,3805.463695044,0.0008,63
27,3967.486475551,3955.735169489,0.0008,65
28,4109.084661865,4098.7319380379995,0.0008,64
29,4263.669331205,4251.939624524,0.0008,65
30,4408.447103267,4398.152206338,0.0007,67
31,4558.577967474,4546.975652817,0.0007,67
32,4698.706768291,4688.183685301,0.0007,68
33,4857.5884228019995,4845.822633545,0.0007,69
34,5001.355903815,4991.073249225,0.0007,68
35,5154.354579371,5142.381845998,0.0007,69
36,5304.912300619,5293.290617891,0.0007,70
37,5447.366259829,5436.727554945,0.0007,70
38,5598.038869219,5587.527426383,0.0007,70
39,5753.353510541,5741.121382046,0.0006,71
40,5907.062401957,5895.9992223829995,0.0006,71
41,6062.11518151,6051.337932855,0.0006,72
42,6207.159635677,6196.710725003,0.0006,73
43,6359.011083808,6348.547626659,0.0006,73
44,6511.953780348,6500.842668462,0.0006,73
45,6657.270173825,6647.159624977,0.0006,74
46,6804.758363745,6792.319483477,0.0006,74
47,6958.99957307,6946.862092298,0.0006,73
48,7107.954863328,7097.444981751,0.0006,76
49,7258.204716285,7247.113543857,0.0006,75
50,7411.766167864,7399.388872424,0.0005,77
51,7558.757437419,7548.4565523,0.0005,77
52,7711.137276859,7699.978062312,0.0005,75
53,7861.908709572,7851.543347087,0.0005,78
54,8011.593769497,7998.690391929,0.0005,78
55,8162.215490848,8152.063477608,0.0005,78
56,8310.538300246,8298.364094051,0.0005,79
57,8468.901728466,8457.827955309,0.0005,79
58,8611.062383489,8600.572205992,0.0005,79
59,8767.964091437,8755.919247465,0.0005,79
60,8909.498726123,8898.849845093,0.0005,78
61,9063.152464393,9052.439857864,0.0005,80
62,9215.136642453,9203.128067929,0.0005,80
63,9357.020270267,9346.144495237,0.0005,79
64,9515.262854077,9504.076526753,0.0004,80
65,9657.182504746,9646.73303703,0.0004,80
66,9810.427088367,9798.972023313,0.0004,80
67,9961.395181138,9950.330134142,0.0004,81
68,10116.154073297,10103.904205557,0.0004,81
69,10277.38620072,10264.729193373,0.0004,81
70,10429.643287777,10418.328616079,0.0004,81
71,10575.80052928,10562.780080675,0.0004,81
72,10731.894275027,10720.903262681,0.0004,81
73,10887.417963095,10875.701522521,0.0004,82
74,11042.856516692,11031.557253778,0.0004,82
75,11200.250524956,11188.481111726,0.0004,81
76,11351.402037014,11340.815987708,0.0004,82
77,11497.290611154,11486.836657403,0.0004,82
78,11651.086933457,11640.150163827,0.0004,82
79,11807.056505189,11796.494784311,0.0004,80
80,11961.278205218,11950.140317881,0.0004,82
81,12104.580908165999,12093.448697876,0.0004,83
82,12264.469576129,12252.010835086,0.0004,82
83,12408.214740274,12397.364951685,0.0004,83
84,12565.109655844,12554.414518764,0.0004,82
85,12716.796405124,12706.147924404,0.0004,83
86,12863.899765672,12853.420445361,0.0004,83
87,13018.424268953,13005.663829716,0.0004,83
88,13170.965718967,13159.094866052,0.0004,83
89,13320.083476511,13309.052090678,0.0004,83
90,13476.761911337,13464.788408257,0.0004,83
91,13629.476632731,13617.4606697,0.0004,84
92,13784.997282897,13774.301546169,0.0003,83
93,13931.134122861,13920.247324735,0.0004,84
94,14085.785111767,14074.995734178,0.0003,83
95,14229.892700615,14219.132392952,0.0003,84
96,14382.367153403,14371.219374372,0.0003,84
97,14530.191809362,14519.614862573,0.0003,84
98,14682.605594057999,14669.749107923,0.0003,84
99,14828.622191488,14818.055016809,0.0003,84
100,14981.506233264,14969.598593251,0.0003,83
101,15121.567316233,15110.824128963,0.0003,85
102,15272.240973771999,15261.558454097,0.0003,84
103,15424.804288676,15412.891895679,0.0003,84
104,15577.978273985,15566.618933928,0.0003,84
105,15732.025433795,15720.080061351,0.0003,85
106,15879.861819517,15869.864547333,0.0003,84
107,16021.140795985,16009.803949314999,0.0003,84
108,16177.626104003,16166.639255295,0.0003,85
109,16327.703283602,16317.097401433999,0.0003,85
110,16476.917292096,16467.200377979003,0.0003,85
111,16619.300228863,16608.117435913002,0.0003,84
112,16770.234545775,16759.848520487,0.0003,85
113,16918.100833521003,16905.706686889003,0.0003,85
114,17069.111485083,17058.437063346002,0.0003,84
115,17220.423458566,17210.154029186,0.0003,85
116,17366.100860495,17352.802214592,0.0003,85
117,17520.239122783,17509.606844048,0.0003,85
118,17673.723863187002,17661.858717872,0.0003,84
119,17813.264512336,17802.600684261,0.0003,85
120,17967.139320939,17957.035341812003,0.0003,85
121,18109.500377568,18098.265565761,0.0003,85
122,18266.935295076,18255.831040389003,0.0003,84
123,18418.603543724003,18405.939112821,0.0003,85
124,18563.804687715,18553.008505898,0.0003,85
125,18717.320679936,18705.324477295002,0.0003,85
126,18861.440115753,18850.497032622003,0.0003,85
127,19012.841528902,19002.254833086,0.0003,85
128,19165.760683260003,19154.560822758,0.0003,85
129,19311.710530795,19300.957277741003,0.0003,84
130,19468.48796433,19456.709249098003,0.0003,86
131,19623.587889051003,19613.007844411,0.0003,85
132,19773.965563502003,19762.095488995,0.0003,85
133,19918.394829012002,19908.088052806,0.0003,85
134,20072.119244330002,20059.895821072,0.0003,86
135,20227.517599413,20216.738681412,0.0003,85
136,20374.100218592,20363.386098725,0.0003,86
137,20531.999800927002,20520.894292380002,0.0003,85
138,20687.715382248003,20675.468359924,0.0003,86
139,20828.700354798002,20817.9435888,0.0003,85
140,20980.244882642,20968.937211334003,0.0003,86
141,21134.810308848002,21125.026745219002,0.0003,86
142,21281.698192587002,21269.931051603002,0.0003,85
143,21444.233528519002,21432.005714659,0.0003,84
144,21600.079173825,21587.822375537,0.0003,86
145,21745.95824938,21735.487861271,0.0003,86
146,21898.195518055003,21887.041161966,0.0003,86
147,22056.096974226002,22044.902984087003,0.0003,85
148,22205.881577309003,22195.149397599,0.0003,86
149,22349.06859807,22338.073668036002,0.0003,85
150,22506.823880322,22494.900978750004,0.0003,84
