epoch,test_time,train_time,loss,accuracy
1,4.501155123,4.053371997000001,0.0031,33
2,8.598635881000002,8.181214278,0.0025,44
3,12.711334779,12.288011526,0.0024,49
4,16.851580226000003,16.433003665,0.0021,53
5,20.976215384,20.552954356,0.0020,55
6,25.055982372000003,24.645067409,0.0019,56
7,29.164189178,28.748334899,0.0019,56
8,33.246938989,32.837190096,0.0018,59
9,37.312716379,36.899689901,0.0017,61
10,41.365804773,40.956386603,0.0017,61
11,45.417453809,45.004745082,0.0016,62
12,49.472464131,49.060935789000006,0.0016,65
13,53.534271581000006,53.120046067,0.0015,63
14,57.62291728900001,57.207411574,0.0015,69
15,61.71142664800001,61.29441933900001,0.0014,67
16,65.83155527699999,65.38731007999999,0.0014,69
17,69.92109849799999,69.508665434,0.0013,71
18,74.011239015,73.60098287199999,0.0013,72
19,78.08140883,77.673020168,0.0012,71
20,82.127653212,81.71906969,0.0012,73
21,86.178042205,85.770868576,0.0012,75
22,90.256177721,89.849038267,0.0011,74
23,94.30645369,93.89531519399999,0.0011,75
24,98.433615265,98.018628448,0.0011,75
25,102.609281035,102.18368529499999,0.0011,76
26,106.820743139,106.40947889399999,0.0010,75
27,111.040735066,110.61312430599999,0.0010,77
28,115.293880037,114.865239791,0.0010,77
29,119.41383923099998,118.99981608999998,0.0010,78
30,123.49639562099999,123.072455296,0.0010,78
31,127.70692326799998,127.27578963199998,0.0010,79
32,131.826588332,131.4092938,0.0010,79
33,135.99938677400002,135.57938002400002,0.0009,78
34,140.107843252,139.694982955,0.0009,80
35,144.236720799,143.822643865,0.0009,79
36,148.35309017900002,147.938128967,0.0009,79
37,152.492551663,152.06802703300002,0.0009,80
38,156.625719645,156.213120881,0.0009,80
39,160.70132117,160.29321968000002,0.0009,80
40,164.787311361,164.374028349,0.0008,81
41,168.90653312,168.48635146400002,0.0008,81
42,173.019220108,172.60564703600002,0.0008,81
43,177.13065554000002,176.721893814,0.0008,82
44,181.19775360100002,180.784845303,0.0008,81
45,185.27113678400002,184.858497043,0.0008,81
46,189.329276297,188.92111031000002,0.0008,82
47,193.377119705,192.96678952800002,0.0008,82
48,197.44435055600002,197.03773666200001,0.0009,78
49,201.476097385,201.068793975,0.0008,82
50,205.507373234,205.10029011,0.0008,84
51,209.542200551,209.13726081500002,0.0008,82
52,213.58164201300002,213.173567964,0.0008,82
53,217.614001906,217.204747407,0.0007,83
54,221.64628333000002,221.240230336,0.0007,84
55,225.683438129,225.27626257,0.0007,83
56,229.729829368,229.320325437,0.0007,82
57,233.766935404,233.36153709500002,0.0007,83
58,237.83579808000002,237.427099098,0.0007,83
59,241.86510747100002,241.459491869,0.0007,84
60,245.906602984,245.497494424,0.0007,84
61,249.943420454,249.534719829,0.0007,84
62,253.98174508000002,253.576658891,0.0007,83
63,258.024263778,257.614396474,0.0007,84
64,262.071043626,261.65882001899996,0.0006,84
65,266.110557702,265.703948467,0.0006,84
66,270.153866823,269.74405012399995,0.0006,84
