epoch,test_time,train_time,loss,accuracy
1,786.430230303,727.380471472,0.0015,22
2,1714.714011548,1644.287394302,0.0015,22
3,2616.299450001,2549.070971113,0.0015,22
4,3563.1588616569998,3489.388458813,0.0015,22
5,4463.3950383599995,4390.206206952,0.0015,22
6,5354.810002947,5285.006632883,0.0014,22
7,6261.616115873,6186.412362788,0.0014,15
8,7188.338861079,7118.696376506,0.0014,15
9,8095.830924426999,8024.279748498,0.0014,22
10,9007.87837614,8938.783395767,0.0014,22
11,9921.04890709,9849.50407368,0.0014,22
12,10839.467901363,10769.520889957,0.0014,22
13,11744.37772249,11675.327054643,0.0014,22
14,12638.714157719,12568.676596576,0.0014,22
15,13539.971588622,13466.563702282,0.0014,22
16,14464.997141904,14390.780727328,0.0014,22
17,15397.152596333,15324.334744669,0.0014,22
18,16305.042527835,16244.322471183,0.0014,22
19,17226.667563993,17158.057203300003,0.0014,22
20,18146.292906742,18077.960431533003,0.0016,22
21,19038.001834493003,18978.242677158003,0.0014,22
22,19948.593318013,19878.404690539002,0.0014,17
23,20834.34969777,20761.360890686003,0.0014,17
24,21741.762741767,21678.820918681,0.0014,17
25,22635.208572347,22566.550533003003,0.0014,17
26,23542.078169786,23473.431834347,0.0014,22
27,24436.773455024002,24367.179045607,0.0014,22
28,25339.520428521002,25267.175882625,0.0014,22
29,26238.156270171003,26171.447803129002,0.0014,22
30,27132.901555832002,27065.505065678,0.0014,32
31,28038.234572407,27966.300009132003,0.0014,23
32,28946.829059429,28872.65889831,0.0013,30
33,29848.860360997,29776.705242783002,0.0013,31
34,30758.482182657,30691.506346371003,0.0014,25
35,31647.752656316003,31580.345821563,0.0013,23
36,32561.124906584002,32501.069450550003,0.0013,22
37,33496.823245891,33428.0661184,0.0013,28
38,34398.993740107,34328.73545961,0.0012,35
39,35285.572375386,35223.83930695,0.0019,22
40,36197.141564473,36133.652911247,0.0015,22
41,37102.153296813995,37033.676335379,0.0015,22
42,37982.636216132996,37920.913043969,0.0014,17
43,38871.639647129996,38796.292454555,0.0014,17
44,39783.956138909,39712.802351948,0.0014,17
45,40687.914151992,40620.262109149,0.0014,17
46,41584.157217339,41515.313563869,0.0014,17
47,42478.831372021,42417.907456076,0.0014,22
48,43378.009267967995,43307.583319123,0.0014,22
49,44289.952594580995,44221.253032753,0.0014,22
50,45183.096651297,45115.501191826,0.0014,22
51,46086.248604278,46014.47237194,0.0014,22
52,46981.544804077,46915.035475565,0.0014,22
53,47886.453706665,47820.66099997,0.0014,22
54,48784.617461334,48725.233931487,0.0014,22
55,49670.903461483,49609.42985974,0.0014,22
56,50589.567490527996,50522.462268054,0.0014,22
57,51474.36735986,51406.230841234996,0.0014,22
58,52353.759051757,52286.872786733,0.0014,22
59,53251.970778133,53183.898575389,0.0014,22
60,54138.288276057,54072.967946916,0.0014,22
61,55039.337491548,54972.240646979,0.0014,22
62,55913.909331908,55850.364338155996,0.0014,23
63,56795.402341233996,56728.183146213,0.0014,23
64,57664.231826596,57596.716259623,0.0014,24
65,58536.104072935996,58468.794586088,0.0014,29
66,59417.62454556,59350.304313909,0.0014,24
67,60298.622167427,60231.41963449,0.0014,27
68,61174.603109879,61107.105528254,0.0014,10
69,62041.004026368995,61973.606344119995,0.0013,31
70,62907.741568002995,62841.378750975,0.0013,30
71,63779.612969028996,63720.012642488,0.0012,35
72,64669.483502161995,64602.323309351,0.0012,37
73,65543.978646687,65476.562854138996,0.0013,22
74,66423.25319237601,66356.05489213101,0.0014,28
75,67289.999908002,67232.347913474,0.0013,34
76,68176.44744245401,68109.24542925501,0.0012,39
77,69050.74320172901,68983.412316222,0.0012,41
78,69913.73390422801,69850.180302623,0.0011,41
79,70787.92539282801,70720.47693760101,0.0013,26
80,71656.054743874,71596.862557221,0.0012,40
81,72525.81977353501,72459.112629343,0.0011,38
82,73406.54068066401,73338.60575554801,0.0011,44
83,74274.289536044,74215.131186825,0.0011,43
84,75161.20803158001,75093.63775769001,0.0011,44
85,76029.104886471,75970.394399305,0.0011,45
86,76911.322396217,76844.159381314,0.0011,46
87,77783.689995141,77715.364582023,0.0010,45
88,78640.71891707,78581.289320309,0.0010,45
89,79522.359987908,79454.951067935,0.0010,45
90,80395.79285039201,80328.67125981701,0.0010,46
91,81271.658901709,81206.395604338,0.0010,48
92,82147.13277237801,82079.82417764301,0.0009,49
93,83023.11453476001,82956.93911833,0.0012,39
94,83887.62400611401,83820.158894758,0.0015,32
95,84766.668167807,84699.56037301601,0.0011,51
96,85639.929103185,85572.648545812,0.0014,23
97,86517.94463196001,86454.633792124,0.0013,27
98,87396.845248168,87338.608273124,0.0013,33
99,88270.05255364701,88202.997732343,0.0012,35
100,89146.50639684101,89079.92717868401,0.0012,38
101,90020.943429969,89953.907103209,0.0012,36
102,90885.941500261,90827.014795419,0.0011,37
103,91772.678584798,91705.55535449,0.0011,46
104,92638.20014887501,92579.246181345,0.0010,50
105,93502.576829572,93443.249776864,0.0009,53
106,94366.19900658801,94299.631150089,0.0009,50
107,95245.99219295001,95178.803597175,0.0009,58
108,96118.220781133,96050.873670625,0.0009,54
109,96993.38510704001,96926.40404242,0.0008,56
110,97864.665637604,97799.39510087401,0.0008,58
111,98743.355214423,98676.46229569301,0.0009,46
112,99605.393066552,99546.017547491,0.0008,57
113,100476.681400681,100415.026438172,0.0009,47
114,101348.401212967,101289.577623781,0.0008,55
115,102234.51597543701,102167.435456908,0.0008,56
116,103105.3715331,103038.44283774901,0.0008,54
117,103975.01457056,103907.874428376,0.0007,62
118,104841.186135193,104781.802477117,0.0007,64
119,105705.60931220601,105636.924845285,0.0007,65
120,106583.304588635,106516.33832310201,0.0007,58
121,107446.646628759,107381.29370017501,0.0006,66
122,108308.610379423,108242.005355693,0.0006,65
123,109175.062845776,109107.734908347,0.0006,68
124,110051.88125932301,109984.24902487801,0.0006,68
125,110925.46167568001,110858.98316699,0.0006,68
126,111808.056094579,111740.71482930101,0.0007,60
127,112671.82107171201,112611.632437722,0.0007,65
128,113539.17937691,113470.55674702801,0.0006,68
129,114395.265695052,114336.12801975201,0.0006,68
130,115266.10658751501,115199.00030544301,0.0005,70
131,116141.758859629,116074.69381553201,0.0005,71
132,117000.67595155501,116937.07200487201,0.0007,66
133,117888.937820516,117821.83570208901,0.0008,64
134,118761.400875027,118694.325168711,0.0006,70
135,119637.45913385501,119570.284209587,0.0006,71
136,120512.009855521,120445.05449220301,0.0005,76
137,121388.00389972,121320.999440418,0.0006,64
138,122247.838387312,122187.153930653,0.0006,68
139,123116.119812638,123049.60208800601,0.0005,74
140,123984.981482468,123917.74107730601,0.0005,74
141,124853.050138116,124785.800767216,0.0005,74
142,125716.264891838,125652.387184274,0.0004,77
143,126581.82701802,126521.66285290601,0.0004,76
